Name, Short Desc, Long Desc
Digital Financial Literacy Platform (SDG 8: Decent Work & Economic Growth),"Create a Financial Education App That Helps Users Learn About Budgeting, Investments, and Smart Spending.","User Persona:
Meet Priyanka, a 24-year-old fresh graduate who struggles with managing her finances. She wants a simple, interactive platform to learn about saving, investing, and avoiding debt.
UI Design Hints:
1. Personalized Learning Paths: Tailor content based on the user’s financial goals.
2. Budgeting Tool: Help users track income, expenses, and savings progress.
3. Simulated Investment Module: Allow users to practice investing with virtual money.
4. Gamification & Rewards: Encourage financial learning with quizzes and challenges.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Digital Financial Literacy Platform while addressing common challenges faced by this demographic
Deliverables:
Moodboard
Final Designs
"
"Sustainable Online Marketplace for Local Artisans (SDG 12 - Responsible Consumption & Production, SDG 8 - Decent Work & Economic Growth)
","Design an e-commerce platform that helps local artisans sell handmade, eco-friendly products while educating buyers about ethical shopping.
","User Persona:
Meet Ryan, a 30-year-old sustainability advocate who wants to buy handmade, eco-friendly products directly from artisans. He struggles to find a trustworthy platform that guarantees authenticity, ethical sourcing, and high-quality craftsmanship.
UI Design Hints:
1. Eco-Certification Badges: Labels indicating fair trade, upcycled, or organic products.
2. Story Feature: Each product page shares the artisan’s background and process.
3. Direct Chat with Sellers: Enables buyers to ask about materials and processes.
4. Sustainable Packaging Option: Buyers choose minimal packaging at checkout
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Sustainable Online Marketplace for Local Artisans while addressing common challenges faced by this demographic
Deliverables:
Moodboard
Final Designs
"
Digital Mental Wellness Hub (SDG 3 - Good Health & Well-Being),"Develop a web-based mental wellness platform offering guided meditation, peer support communities, and AI-driven mood tracking to help users manage their emotional well-being.","User Persona:
Meet Rohan, a 24-year-old working professional experiencing workplace burnout. He is looking for an easy-to-use digital space to manage stress, talk to like-minded individuals, and access mindfulness tools.
UI Design Hints:
1. Mood Tracker: Users can log emotions daily and receive insights.
2. Anonymous Support Groups: Create safe spaces where users can connect.
3. Calming UI: Use soft colors, animations, and engaging interactions.
4. Guided Audio Sessions: Offer meditation, deep breathing, and therapy content.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly  Digital Mental Wellness Hub while addressing common challenges faced by this demographic
Deliverables:
Moodboard
Final Designs
"
"Circular Economy Marketplace (SDG 12 - Responsible Consumption & Production)
","Create an online marketplace that encourages the exchange, reuse, and upcycling of pre-owned goods, promoting a circular economy mindset.
","User Persona:
Meet Sofia, a 26-year-old student passionate about reducing waste. She prefers buying second-hand and upcycled products but struggles with finding an organized platform that ensures quality and ethical resale.
UI Design Hints:
1. Quality Verification Badge: Ensure product authenticity and condition verification.
2. Swap & Trade Feature: Enable users to trade items instead of just selling.
3. Eco-Impact Score: Show how much waste is saved per purchase.
4. User Ratings & Stories: Encourage sellers to share how products were upcycled.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Circular Economy Marketplace while addressing common challenges faced by this demographic
Deliverables:
Moodboard
Final Designs
"
"Skincare Advisor

","Develop an App to Help Users Create Personalized Skincare Routines Based on Their Skin Type, Concerns, and Goals.","User Persona
Meet Emma, a 28-year-old professional who struggles with choosing the right skincare products for her skin. She needs help creating a routine that targets her specific skin concerns, like dryness and sensitivity. Emma seeks an app that provides personalized product recommendations and tips based on her unique needs.
UI Design Hints
1. Skin Type & Concern Analysis: Allow users to take a quiz or upload a photo for personalized skincare advice.
2. Product Recommendations: Suggest products based on user skin type and concerns
3. Routine Builder: Create a daily skincare routine with reminders for each step.
4. Ingredient Transparency: Provide detailed information on product ingredients and their benefits.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Skincare Advisor while addressing common challenges faced by this demographic.
Deliverables:
Moodboard
Final Designs
"
Personal Chef & Meal Planner,"Create an App That Customizes Meal Plans Based on Dietary Preferences, Health Goals, and Available Ingredients.","User Persona
Meet James, a 35-year-old professional who wants to eat healthier but struggles to plan meals due to a busy schedule. He needs a smart meal planner that takes his dietary preferences, fitness goals, and available ingredients into account, offering personalized recipes and grocery lists.
UI Design Hints
1. Personalized Meal Plans: AI suggests meals based on dietary restrictions, health goals, and taste preferences.
2. Ingredient-Based Recipe Finder: Suggest meals based on what users already have in their kitchen.
3. Nutritional Tracking: Track calories, macros, and nutritional values of meals.
4. Smart Grocery List: Automatically generate shopping lists based on the week’s meal plan.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Personal Chef & Meal Planner while addressing common challenges faced by this demographic.
Deliverables:
Moodboard
Final Designs
"
Dream Interpreter,"Develop an App That Analyzes Dreams and Provides Insights Based on Personal Experiences, Psychology, and Symbolism.","Meet Lily, a 26-year-old curious individual who has vivid dreams and is interested in understanding their deeper meaning. She wants an app that can interpret her dreams, explain the symbols, and relate them to her waking life or emotional state.
UI Design Hints
1. Dream Journal: Allow users to record dreams easily with text or voice input.
2. AI Interpretation: Provide analysis based on common dream symbols and psychological insights.
3. Personalized Insights: Link dreams to current life situations, emotions, or stress levels.
4. Dream Patterns Tracker: Track recurring themes or symbols over time for deeper analysis.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Dream Interpreter while addressing common challenges faced by this demographic.
Deliverables:
Moodboard
Final Designs
"
Emotion-Based Music & Mood Enhancer,"Create an App That Selects Music Based on User Emotions, Enhancing Mood and Providing Therapeutic Benefits.
","User Persona
Meet Noah, a 30-year-old professional who uses music to manage stress and boost his mood. He wants an app that can recognize his emotions and recommend songs or playlists that suit his current emotional state, helping him relax or stay motivated.
UI Design Hints
1. Emotion Detection: Use voice, text, or facial recognition to analyze current emotions.
2. Mood-Based Playlists: Recommend music tailored to the user’s mood, such as calming for stress or upbeat for energy.
3. Real-Time Adjustments: Continuously adapt the music as the user’s emotional state changes.
4. Mood Tracking: Track emotional trends and suggest songs that help improve overall well-being.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Emotion-Based Music & Mood Enhancer while addressing common challenges faced by this demographic.
Deliverables:
Moodboard
Final Designs
"
"Book & Movie Recommender
","Create an App That Suggests Books and Movies Based on User Preferences, Mood, and Past Selections.
","User Persona
Meet Clara, a 27-year-old avid reader and movie lover who often struggles to find new books and movies that suit her interests. She needs an app that tracks her preferences, recommends new titles, and adapts to her changing mood or genre preferences.
UI Design Hints
1. Personalized Recommendations: AI suggests books and movies based on past preferences and ratings.
2. Mood-Based Suggestions: Recommend content based on current emotional state or desired vibe (e.g., feel-good, thriller).
3. Watch/Read History: Track previous books and movies for better suggestions.
4. Social Sharing & Reviews: Allow users to share recommendations with friends and read reviews before choosing.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Book & Movie Recommender while addressing common challenges faced by this demographic.
Deliverables:
Moodboard
Final Designs
"
Smart Home Interior Designer,"Develop an App to Help Users Design and Optimize Their Home Interiors with Personalized Suggestions and Smart Automation.
","User Persona
Meet Sarah, a 30-year-old homeowner who wants to personalize her living space. She struggles to visualize design ideas and balance style with functionality. Sarah needs an AI-powered app that provides tailored interior design suggestions and integrates with smart home devices.
UI Design Hints
1. AI-Powered Design Suggestions: Recommend furniture, colors, and layouts based on user preferences.
2. Smart Home Integration: Sync with smart lighting, heating, and appliances to create automated settings.
3. 3D Visualization: Let users see their designs in 3D before implementing.
4. Budget Tracking: Track spending and suggest cost-effective design solutions.
Please note: The UI design hints are for reference. Participants should focus on creating a user-friendly Smart Home Interior Designer while addressing common challenges faced by this demographic
Deliverables:
Moodboard
Final Designs
"
